hgnc	status	subcellular_location
RAI1	Validated	Nucleoplasm
CCDC47	Validated	Endoplasmic reticulum
FTSJ3	Validated	Nucleoli
ALDH3A1	Validated	Cytosol
SMARCD2	Validated	Nucleoplasm
UTP6	Validated	Nucleoli
DDX5	Validated	Nucleoplasm
RAB5C	Validated	Endosomes
LRRC59	Validated	Endoplasmic reticulum
LUC7L3	Validated	Nuclear speckles
HLF	Validated	Nucleus
TNFAIP1	Validated	Nucleoli
PHF12	Validated	Nucleoplasm
SLAIN2	Validated	Centrosome
SLAIN2	Validated	Cytosol
USP46	Validated	Nucleoli
GALNT7	Validated	Golgi apparatus
DHX15	Validated	Nuclear speckles
NEIL3	Validated	Nucleoplasm
UGDH	Validated	Nucleoplasm
CRYAB	Validated	Cytosol
CRYAB	Validated	Plasma membrane
FNBP4	Validated	Nuclear speckles
B3GAT1	Validated	Vesicles
VWA5A	Validated	Nucleus
LPXN	Validated	Cytosol
LPXN	Validated	Focal adhesion sites
OSBP	Validated	Cytosol
OSBP	Validated	Golgi apparatus
PPP6R3	Validated	Cytosol
PPP6R3	Validated	Nucleoplasm
PPP6R3	Validated	Plasma membrane
CCDC86	Validated	Nucleoli
CCDC86	Validated	Nucleus
PRPF19	Validated	Nuclear speckles
PANX1	Validated	Plasma membrane
EIF4G2	Validated	Cytosol
CARS	Validated	Cytosol
GTF2H1	Validated	Nucleoplasm
ATP5B	Validated	Mitochondria
RSRC2	Validated	Nuclear speckles
KRT18	Validated	Cytosol
CDK2AP1	Validated	Nucleoplasm
VDR	Validated	Nucleoplasm
CAND1	Validated	Cytosol
CAND1	Validated	Golgi apparatus
CAND1	Validated	Nucleoplasm
CPSF6	Validated	Nuclear speckles
CPSF6	Validated	Nucleoplasm
KRR1	Validated	Nucleoli
KRR1	Validated	Nucleus
GAPDH	Validated	Cytosol
GAPDH	Validated	Plasma membrane
CHD4	Validated	Nucleus
TPI1	Validated	Nucleoplasm
ATN1	Validated	Nucleoplasm
LDHB	Validated	Cytosol
ASF1A	Validated	Nucleus
MCM3	Validated	Nucleoplasm
SAYSD1	Validated	Vesicles
RBM24	Validated	Cytosol
RBM24	Validated	Nucleoplasm
RAB23	Validated	Cytosol
RAB23	Validated	Plasma membrane
ALDH5A1	Validated	Mitochondria
GMNN	Validated	Nucleoplasm
EPM2A	Validated	Nucleoplasm
BYSL	Validated	Nucleoli
NNT	Validated	Mitochondria
HSPA9	Validated	Mitochondria
IK	Validated	Nuclear speckles
COL4A3BP	Validated	Golgi apparatus
COL4A3BP	Validated	Nucleoplasm
FAF2	Validated	Lipid droplets
TTC1	Validated	Cytosol
LMNB1	Validated	Nuclear membrane
BRIX1	Validated	Nucleoli
RAD50	Validated	Nucleoplasm
NUP155	Validated	Nuclear membrane
FGF1	Validated	Nucleoplasm
NR3C1	Validated	Cytosol
NR3C1	Validated	Nucleoplasm
RARS	Validated	Cytosol
TCERG1	Validated	Nucleoplasm
ERGIC1	Validated	Vesicles
ZNF346	Validated	Nucleus
TIMMDC1	Validated	Mitochondria
BCL6	Validated	Nucleoplasm
FAM162A	Validated	Mitochondria
OGG1	Validated	Nucleoplasm
KPNA1	Validated	Cytosol
KPNA1	Validated	Nucleus
RPL24	Validated	Cytosol
RPL24	Validated	Endoplasmic reticulum
FXR1	Validated	Cytosol
BBX	Validated	Cytosol
BBX	Validated	Nucleoplasm
NCBP2	Validated	Nucleoplasm
PLCH1	Validated	Vesicles
FOXP1	Validated	Nucleoplasm
EIF4G1	Validated	Cytosol
KANSL3	Validated	Nucleus
NCL	Validated	Nucleoli
CENPA	Validated	Nucleus
PPM1G	Validated	Nucleoplasm
MOGS	Validated	Endoplasmic reticulum
PCGF1	Validated	Nucleoplasm
CLIP4	Validated	Vesicles
RTN4	Validated	Endoplasmic reticulum
STAT1	Validated	Cytosol
STAT1	Validated	Nucleoplasm
PAPOLG	Validated	Nucleoplasm
TXNDC9	Validated	Cytosol
SF3B1	Validated	Nuclear speckles
PDCL3	Validated	Cytosol
PDCL3	Validated	Nucleus
KDM3A	Validated	Nucleoplasm
IL1R1	Validated	Vesicles
FHL2	Validated	Actin filaments
FHL2	Validated	Focal adhesion sites
ABCB6	Validated	Golgi apparatus
GORASP2	Validated	Golgi apparatus
DARS	Validated	Cytosol
SRSF7	Validated	Nucleoplasm
SLC1A4	Validated	Centrosome
SLC1A4	Validated	Microtubule organizing center
COX7A2L	Validated	Mitochondria
COX7A2L	Validated	Nucleoli
ATF2	Validated	Nucleoplasm
C2orf42	Validated	Nucleus
PLEKHA3	Validated	Golgi apparatus
CACYBP	Validated	Cytosol
CACYBP	Validated	Nucleoplasm
SCP2	Validated	Peroxisomes
LRRC42	Validated	Nucleoplasm
AMPD2	Validated	Cytosol
HDAC1	Validated	Nucleoplasm
SFPQ	Validated	Nucleoplasm
GON4L	Validated	Nuclear bodies
GON4L	Validated	Nucleoplasm
MEF2D	Validated	Nucleoplasm
NCF2	Validated	Cytosol
ADPRHL2	Validated	Nucleoplasm
ACADM	Validated	Mitochondria
RPF1	Validated	Nucleoli
RBBP5	Validated	Nucleoli
RBBP5	Validated	Nucleus
PRPF3	Validated	Nucleoplasm
SLC2A1	Validated	Plasma membrane
EBNA1BP2	Validated	Nucleoli
CNN3	Validated	Actin filaments
CNN3	Validated	Cytosol
PRRC2C	Validated	Cytosol
F3	Validated	Vesicles
ABCD3	Validated	Peroxisomes
IRF6	Validated	Cytosol
NENF	Validated	Nucleus
ARID1A	Validated	Nucleoplasm
RPA2	Validated	Nuclear bodies
RPA2	Validated	Nucleoplasm
PPP1R8	Validated	Nuclear speckles
PPP1R8	Validated	Nucleoplasm
CD3EAP	Validated	Nucleoli fibrillar center
CD3EAP	Validated	Nucleus
RCN2	Validated	Endoplasmic reticulum
MUC5B	Validated	Vesicles
STAG1	Validated	Nuclear bodies
STAG1	Validated	Nucleus
CREB1	Validated	Nucleoplasm
HMGN3	Validated	Nucleus
CTGF	Validated	Golgi apparatus
CTGF	Validated	Vesicles
FOXO3	Validated	Nucleus
PKD2	Validated	Endoplasmic reticulum
ABCG2	Validated	Nucleus
ABCG2	Validated	Plasma membrane
TJP2	Validated	Cell Junctions
HEATR1	Validated	Mitochondria
HEATR1	Validated	Nucleoli fibrillar center
PPP2R4	Validated	Cytosol
PPP2R4	Validated	Nucleoplasm
NDUFA8	Validated	Mitochondria
ALG2	Validated	Actin filaments
ALG2	Validated	Cytosol
IRF2BPL	Validated	Nucleoplasm
RBM25	Validated	Nuclear speckles
ALDH6A1	Validated	Mitochondria
BCL11A	Validated	Nucleoplasm
PLEKHG1	Validated	Nucleoplasm
GORAB	Validated	Cytosol
GORAB	Validated	Golgi apparatus
MASTL	Validated	Nucleoplasm
HSPH1	Validated	Cytosol
HSPH1	Validated	Nucleoplasm
KDM3B	Validated	Nucleoplasm
EGR1	Validated	Nucleoplasm
TMPO	Validated	Nuclear membrane
PTK2B	Validated	Cytosol
PTK2B	Validated	Plasma membrane
EPHX2	Validated	Cytosol
TARDBP	Validated	Nucleoplasm
COPS5	Validated	Nucleoplasm
COIL	Validated	Nuclear bodies
COIL	Validated	Nucleoli fibrillar center
RNF2	Validated	Nucleoplasm
KHDRBS1	Validated	Nucleoplasm
PDS5A	Validated	Nucleoplasm
CLCC1	Validated	Endoplasmic reticulum
POLK	Validated	Nuclear bodies
POLK	Validated	Nucleoplasm
LAX1	Validated	Cytosol
LAX1	Validated	Golgi apparatus
LAX1	Validated	Plasma membrane
RBBP6	Validated	Nuclear speckles
PMS2	Validated	Nucleoplasm
HNRNPA2B1	Validated	Nucleoplasm
NPY	Validated	Golgi apparatus
CCZ1	Validated	Vesicles
TRIM24	Validated	Nucleoplasm
CALD1	Validated	Actin filaments
CALD1	Validated	Plasma membrane
VPS26A	Validated	Endosomes
OPTN	Validated	Cytosol
ATF1	Validated	Nucleoplasm
SPATS2	Validated	Cytosol
CDK2	Validated	Nucleoplasm
HJURP	Validated	Nucleoli
HJURP	Validated	Nucleus
MORF4L2	Validated	Nucleus
EXOSC9	Validated	Nucleoli
ADCK4	Validated	Mitochondria
PFKFB2	Validated	Nucleus
VAPB	Validated	Endoplasmic reticulum
CSE1L	Validated	Cytosol
CSE1L	Validated	Nucleoplasm
STX16	Validated	Vesicles
MPHOSPH10	Validated	Nucleoli
TRERF1	Validated	Nucleoplasm
SIRT5	Validated	Mitochondria
SNRPC	Validated	Nucleoplasm
XPO5	Validated	Nucleoplasm
AARS2	Validated	Mitochondria
TBCC	Validated	Cytosol
NUP153	Validated	Nuclear membrane
DEK	Validated	Nucleus
RUNX2	Validated	Nucleoplasm
UPF3B	Validated	Cytosol
SOX9	Validated	Nucleoplasm
PAX8	Validated	Nucleoplasm
GTF2F1	Validated	Nucleus
CLPP	Validated	Mitochondria
CENPB	Validated	Nuclear bodies
PSMF1	Validated	Cytosol
RRBP1	Validated	Endoplasmic reticulum
MRPS26	Validated	Mitochondria
HNRNPR	Validated	Nucleoplasm
ID1	Validated	Nucleoplasm
RALY	Validated	Nucleoplasm
GRPR	Validated	Plasma membrane
KDM5C	Validated	Cytosol
KDM5C	Validated	Nucleoplasm
PSMB2	Validated	Nucleoplasm
XRCC3	Validated	Nucleus
PRDX5	Validated	Cytosol
PRDX5	Validated	Mitochondria
STAT5A	Validated	Cytosol
STAT5A	Validated	Nucleoplasm
TRAP1	Validated	Mitochondria
DNAJC8	Validated	Nucleoplasm
EMG1	Validated	Nucleoli
EMG1	Validated	Nucleus
ELK1	Validated	Nucleoplasm
KTN1	Validated	Endoplasmic reticulum
MAP2K2	Validated	Cytosol
HNRNPH2	Validated	Nucleoplasm
TIMM8A	Validated	Mitochondria
CANX	Validated	Endoplasmic reticulum
TRAF2	Validated	Cytosol
PIN1	Validated	Cytosol
PIN1	Validated	Nucleoplasm
